MW, Production, PL, Alloy, Num, Diameter, MTemp, BTemp, BL, ExSpeed, SmST, SpST, OtherST, FlST, OxST, Mould1, Mould2, Mould6, Mould16, DevBL, DevProduction, DevBTemp, BLLow, BLMed, BLHigh, ProductionLow, ProductionMed, ProductionHigh, BTempLow, BTempMed, BTempHigh
1.588,1024.26,5000,1,1,260,441.7,430.53,784,7,0,0,0,1,0,1,0,0,0,-0.46446781,-0.574802865,-0.990717646,1,0,0,0,1,0,1,0,0
1.63,4980.15,4933.333333,1,1,260,500,400.53,819,7.6,0,1,0,0,0,1,0,0,0,-0.246556727,0.755001711879901,-2.0753358,0,1,0,0,0,1,1,0,0
0.888,729.693,5010.5263,0,2,260,510,446.53,982,8.5,0,1,0,0,0,1,0,0,0,0.768286321186144,-0.673823956,-0.412254631,0,0,1,0,1,0,0,1,0
2.321,4355.55,4500,1,1,260,514.3,434.53,777,7.5,0,0,0,0,1,1,0,0,0,-0.508050027,0.545037345189557,-0.846101892,1,0,0,0,0,1,1,0,0
1.485,5447.18,5300,1,1,260,498.2,436.53,779,7.5,0,1,0,0,0,1,0,0,0,-0.495597965,0.911997642356032,-0.773794015,1,0,0,0,0,1,1,0,0
0.532,2456.2108,5406.25,1,3,260,470,446.53,1007,8.1,0,1,0,0,0,1,0,0,0,0.923937095380128,-0.093440965,-0.412254631,0,0,1,0,1,0,0,1,0
1.63,2946.88,5150,1,1,260,484.1,404.53,845,7.1,0,1,0,0,0,1,0,0,0,-0.084679921,0.0715014751516333,-1.930720046,0,1,0,0,1,0,1,0,0
2.552,4317.8564,6175,1,1,260,505,470.53,991,6.7,0,0,0,1,0,1,0,0,0,0.824320599895979,0.532366335179503,0.455439892115377,0,0,1,0,0,1,0,0,1
0.764,4036.17,4750,1,2,260,485.1,438.53,818,6.5,0,1,0,0,0,1,0,0,0,-0.252782758,0.437675162298807,-0.701486138,0,1,0,0,0,1,1,0,0
0.753,677.7,6000,0,2,260,470,436.53,700,6.3,0,1,0,0,0,1,0,0,0,-0.987454412,-0.691301826,-0.773794015,1,0,0,0,1,0,1,0,0
0.55,3996.92,5650,1,3,260,495.3,428.53,786,7.8,0,1,0,0,0,1,0,0,0,-0.452015748,0.424480955778481,-1.063025523,1,0,0,0,0,1,1,0,0
0.679,273.3654,6100,0,2,260,435.7,446.53,862,8,0,0,0,1,0,1,0,0,0,0.0211626050550191,-0.827222188,-0.412254631,0,1,0,1,0,0,0,1,0
0.767,314.3626,5940,1,2,260,451.2,436.53,818,7.1,0,1,0,0,0,1,0,0,0,-0.252782758,-0.813440646,-0.773794015,0,1,0,1,0,0,1,0,0
1.906,33.5456,4400,1,1,260,480.1,462.53,857,7.5,0,0,0,1,0,1,0,0,0,-0.00996755,-0.907839563,0.166208384464812,0,1,0,1,0,0,0,1,0
2.377,1801.8967,3907.5,1,1,260,470,470.53,919,7,0,0,0,1,0,1,0,0,0,0.376046370217304,-0.313393967,0.455439892115377,0,0,1,0,1,0,0,0,1
1.264,21.2352,5600,0,1,260,490,458.53,900,6.5,0,1,0,0,0,1,0,0,0,0.257751781829875,-0.911977804,0.0215926306395298,0,1,0,1,0,0,0,1,0
2.576,13039.39,4375,1,1,328,511.3,462.53,832,8.3,0,0,0,1,0,1,0,0,0,-0.165618324,3.46418074262836,0.166208384464812,0,1,0,0,0,1,0,1,0
3.451,1863.54,6000,1,1,260,470,436.53,788,6.6,0,1,0,0,0,1,0,0,0,-0.439563687,-0.292672071,-0.773794015,1,0,0,0,1,0,1,0,0
2.166,779.76,6000,1,1,260,470,416.53,473,7.2,0,1,0,0,0,1,0,0,0,-2.400763441,-0.656993527,-1.496872785,1,0,0,0,1,0,1,0,0
2.538,10811.88,6000,1,1,260,490,476,973,8,0,1,0,0,0,1,0,0,0,0.71225204247631,2.71538515113555,0.653201935471451,0,0,1,0,0,1,0,0,1
2.504,105.168,6000,1,1,328,489.3,452.53,646,8,0,0,0,0,1,1,0,0,0,-1.323660084,-0.883763111,-0.195331,1,0,0,1,0,0,0,1,0
2.033,9.9617,4900,1,1,260,490,496,993,7,0,0,0,0,1,1,0,0,0,0.836772661831497,-0.915767482,1.37628070459786,0,0,1,1,0,0,0,0,1
